label,network,adjacent1,adjacent2
V1d,Occipital,V1v,V2d
V1v,Occipital,V1d,V2v
V2d,Occipital,V1d,V3d
V2v,Occipital,V1v,V3v
V3d,Occipital,V2d,V3a
V3v,Occipital,V2v,hV4
hV4,Ventral,V3v,VO1
VO1,Ventral,hV4,VO2
VO2,Ventral,VO1,PHC1
PHC1,Ventral,VO2,PHC2
PHC2,Ventral,PHC1,PHC1
LO1,Lateral,V3d,LO2
LO2,Lateral,LO1,hMT
hMT,Lateral,LO2,MST
MST,Lateral,hMT,hMT
V3a,Dorsal,V3d,V3b
V3b,Dorsal,V3d,V3a
IPS0,Dorsal,V3a,IPS1
IPS1,Dorsal,IPS0,IPS2
IPS2,Dorsal,IPS1,IPS3
IPS3,Dorsal,IPS2,IPS4
IPS4,Dorsal,IPS3,IPS5
IPS5,Dorsal,IPS4,SPL1
SPL1,Dorsal,IPS5,IPS5
