,V1d,V1v,V2d,V2v,V3d,V3v,hV4,VO1,VO2,PHC1,PHC2,LO1,LO2,hMT,MST,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
V1d,0.7486528893638218,0.694161596041652,0.6581570113289413,0.5554707088977644,0.5742942263628346,0.4676229506070334,0.3160508039236865,0.29277519439614114,0.31682612044885894,0.2636235196048589,0.2723394436334873,0.37855385465394514,0.41440189816929107,0.4187282882823189,0.45868412492021016,0.4385599289321626,0.5549549399952005,0.48306012657727915,0.4199623902067241,0.3166736749679552,0.3065335177802788,0.3132378262770347,0.3474232685157177,0.2287851187405243
V1v,0.6941615960416518,0.7616761019402187,0.56347988456593,0.66958347480244,0.49825846056698,0.4949614321459399,0.32614858940148095,0.35773829813743957,0.3749819642071597,0.32534735079426247,0.2648701081316734,0.38505136047597344,0.3821115618355658,0.374910802916923,0.4301431009124665,0.4014107972193889,0.4892563833805914,0.42296258402505826,0.3835045642564844,0.31040429409483283,0.2992400515964516,0.299384683748369,0.3131237786326021,0.2599796973668541
V2d,0.6581570113289413,0.56347988456593,0.6394657000045794,0.4266212284199341,0.6003276813167958,0.34758933406697623,0.282039298463418,0.2744931542388105,0.2547402644586386,0.22526310817502088,0.2371941617758995,0.3601769238858244,0.40456231928665876,0.41179643351996487,0.47358138643927083,0.44276312457783124,0.538025976231229,0.42481910403120227,0.36784748796951494,0.3544203894568533,0.28214793844645275,0.30604310976523597,0.29698155052284153,0.23400223590995034
V2v,0.5554707088977645,0.6695834748024401,0.4266212284199341,0.6356456764548273,0.3959984150487835,0.5181554586963435,0.34520174381855306,0.3564221788185066,0.40984867484990195,0.3445363904952168,0.29925092471756015,0.3828693199998676,0.3249454422127963,0.33987208655173606,0.3533276552771598,0.31731678690312126,0.43687359210934856,0.42009647269286954,0.32758746200467065,0.3108983305419656,0.3001141970331378,0.30142640956501116,0.31216923238182637,0.25183383032660456
V3d,0.5742942263628346,0.49825846056698003,0.6003276813167957,0.3959984150487835,0.5731702842343327,0.34252157201178657,0.2754910688175861,0.2973305111266531,0.24469218318762642,0.22763140212434274,0.22801348200499572,0.2925445599056905,0.422245756085745,0.43413837303068514,0.47580627055298136,0.4522189368482145,0.5084271341172335,0.4479275103608027,0.3828288767111293,0.32902484691256273,0.28771547635172934,0.2917117452736125,0.33480287281302384,0.27346349266262554
V3v,0.4676229506070334,0.4949614321459399,0.34758933406697623,0.5181554586963435,0.34252157201178657,0.4658862270887957,0.2968585132948487,0.3671251720861558,0.39237878658967995,0.33347903553182623,0.2711118525454293,0.35817193737303243,0.35555922414379,0.32114958909604563,0.31179876969785303,0.3321951583339807,0.42190735357735387,0.3774269537085033,0.3015391537203116,0.2506679248136061,0.24975665944790254,0.2637454106670837,0.2751575210818574,0.21349331268983995
hV4,0.3160508039236865,0.3261485894014809,0.282039298463418,0.34520174381855306,0.2754910688175861,0.2968585132948487,0.2288978729796634,0.23184765890863274,0.22297271676023825,0.16155882879044187,0.13928570483075103,0.2417317815982551,0.2202344366138723,0.2408025719462107,0.2734698534444546,0.2236156313114832,0.25046728251061473,0.2318438410024536,0.20991328485803623,0.15461282750061706,0.12485806163730084,0.15740377278852868,0.1647243820416521,0.13004370639515989
VO1,0.2927751943961412,0.3577382981374396,0.2744931542388105,0.3564221788185066,0.2973305111266531,0.36712517208615586,0.23184765890863274,0.2974611243874271,0.31788993161841683,0.2489379346198801,0.20539289229002972,0.31640922611946914,0.2969985510803374,0.2610244623451658,0.2767914761364353,0.2863111462689879,0.3551146255444939,0.3181067857669837,0.26203545636717757,0.2063604520291305,0.20209603616670485,0.2337281864485986,0.22235753691493065,0.17259813969746668
VO2,0.31682612044885894,0.3749819642071597,0.2547402644586386,0.40984867484990195,0.24469218318762642,0.39237878658967995,0.2229727167602383,0.31788993161841683,0.4383962399915058,0.3775029953919684,0.2994311914842557,0.29238839887312806,0.3263100346005897,0.24488059682677865,0.2653295665557665,0.28762673063336525,0.3685693535047708,0.3258048164905375,0.253296856597524,0.22483253087734625,0.22682772693129774,0.22457428963652082,0.23125901681374605,0.18468535939773484
PHC1,0.2636235196048589,0.32534735079426247,0.22526310817502088,0.3445363904952168,0.22763140212434274,0.33347903553182634,0.16155882879044187,0.24893793461988015,0.3775029953919684,0.304724183162452,0.28684666014219956,0.2666847762614931,0.2548214048537423,0.2058576652998632,0.2137610311299607,0.23748058736446898,0.3171887231133669,0.29181638645929586,0.22264173429226256,0.20744321671374785,0.20719624131417008,0.21558883297237585,0.2165437841862437,0.1488777594315139
