sub,network,corr
sub-100610,Occipital,-0.30151134457776363
sub-100610,Ventral,0.9773555548504416
sub-100610,Dorsal,0.744874962444986
sub-100610,Lateral,0.5501485601695769
sub-102311,Occipital,1.0
sub-102311,Ventral,0.5999999999999999
sub-102311,Dorsal,0.47872772098294664
sub-102311,Lateral,-0.5976143046671969
sub-102816,Occipital,-0.30151134457776363
sub-102816,Ventral,0.8636349160688954
sub-102816,Dorsal,0.6166666666666666
sub-102816,Lateral,-0.8552359741197582
sub-104416,Occipital,-0.30151134457776363
sub-104416,Ventral,1.0
sub-104416,Dorsal,0.5429248952299619
sub-104416,Lateral,0.5501485601695769
sub-105923,Occipital,-0.30151134457776363
sub-105923,Ventral,0.5494422557947563
sub-105923,Dorsal,0.36185045832490537
sub-105923,Lateral,0.42426406871192845
sub-108323,Occipital,1.0
sub-108323,Ventral,0.08219949365267867
sub-108323,Dorsal,0.44999999999999996
sub-108323,Lateral,0.07559289460184543
sub-109123,Occipital,1.0
sub-109123,Ventral,0.5872801368884133
sub-109123,Dorsal,0.5088235294117647
sub-109123,Lateral,0.3689640277608546
sub-111312,Occipital,1.0
sub-111312,Ventral,0.4931969619160719
sub-111312,Dorsal,0.7621594956268627
sub-111312,Lateral,-0.8315218406203
sub-111514,Occipital,-0.30151134457776363
sub-111514,Ventral,0.686243566496721
sub-111514,Dorsal,0.3964011580004663
sub-111514,Lateral,1.0
sub-114823,Occipital,1.0
sub-114823,Ventral,1.0
sub-114823,Dorsal,0.802019509811106
sub-114823,Lateral,-0.37796447300922736
sub-115017,Occipital,1.0
sub-115017,Ventral,1.0
sub-115017,Dorsal,-2.7755575615628914e-17
sub-115017,Lateral,-0.37796447300922736
sub-115825,Occipital,1.0
sub-115825,Ventral,1.0
sub-115825,Dorsal,0.5792363126413544
sub-115825,Lateral,-0.37796447300922736
sub-116726,Occipital,-0.30151134457776363
sub-116726,Ventral,0.586865966483955
sub-116726,Dorsal,0.3733026101029531
sub-116726,Lateral,-0.24206536647461385
sub-118225,Occipital,1.0
sub-118225,Ventral,0.6435852218524316
sub-118225,Dorsal,0.7426106572325057
sub-118225,Lateral,0.07559289460184543
sub-125525,Occipital,-0.30151134457776363
sub-125525,Ventral,0.3509885473947302
sub-125525,Dorsal,0.44570696574082336
sub-125525,Lateral,0.7969722925954423
sub-126426,Occipital,-0.30151134457776363
sub-126426,Ventral,0.9615239476408233
sub-126426,Dorsal,0.6549190170692243
sub-126426,Lateral,0.07559289460184546
sub-128935,Occipital,1.0
sub-128935,Ventral,0.5908789478687515
sub-128935,Dorsal,0.5944718152532
sub-128935,Lateral,0.7483314773547883
sub-130114,Occipital,1.0
sub-130114,Ventral,0.38124642583151164
sub-130114,Dorsal,0.8166666666666665
sub-130114,Lateral,-0.42426406871192845
sub-130518,Occipital,1.0
sub-130518,Ventral,0.30000000000000004
sub-130518,Dorsal,0.63727937358744
sub-130518,Lateral,0.37142857142857144
sub-131722,Occipital,1.0
sub-131722,Ventral,1.0
sub-131722,Dorsal,0.3559342484071871
sub-131722,Lateral,0.680336051416609
sub-132118,Occipital,1.0
sub-132118,Ventral,0.686243566496721
sub-132118,Dorsal,0.7794228634059946
sub-132118,Lateral,-0.07559289460184543
sub-134627,Occipital,1.0
sub-134627,Ventral,0.08219949365267867
sub-134627,Dorsal,0.5599539151544296
sub-134627,Lateral,-0.37796447300922736
sub-134829,Occipital,-0.30151134457776363
sub-134829,Ventral,0.1643989873053573
sub-134829,Dorsal,0.45885354972981596
sub-134829,Lateral,-0.49613893835683376
sub-135124,Occipital,-0.30151134457776363
sub-135124,Ventral,0.9615239476408233
sub-135124,Dorsal,0.11389895949029988
sub-135124,Lateral,-0.282842712474619
sub-137128,Occipital,-0.30151134457776363
sub-137128,Ventral,0.8129497539188609
sub-137128,Dorsal,0.4763139720814412
sub-137128,Lateral,-0.37796447300922736
sub-140117,Occipital,-0.30151134457776363
sub-140117,Ventral,0.4931969619160719
sub-140117,Dorsal,0.7324322625900321
sub-140117,Lateral,0.5262348115842176
sub-144226,Occipital,1.0
sub-144226,Ventral,0.7554831017177897
sub-144226,Dorsal,0.5288453643125169
sub-144226,Lateral,-0.3779644730092273
sub-145834,Occipital,1.0
sub-145834,Ventral,0.15242624470826976
sub-145834,Dorsal,0.20483366695820437
sub-145834,Lateral,0.30499714066520933
sub-146129,Occipital,1.0
sub-146129,Ventral,1.0
sub-146129,Dorsal,0.49830794777006204
sub-146129,Lateral,-0.37796447300922736
sub-146432,Occipital,1.0
sub-146432,Ventral,0.8219949365267865
sub-146432,Dorsal,-0.13333333333333336
sub-146432,Lateral,-0.37796447300922736
sub-146735,Occipital,1.0
sub-146735,Ventral,0.45749571099781405
sub-146735,Dorsal,0.2333141313143457
sub-146735,Lateral,-0.42426406871192845
sub-146937,Occipital,-0.30151134457776363
