sub,network1,roi1,network2,roi2,roi_similarity,network_similarity,corr
sub-100610,Occipital,V1v,Occipital,V1v,same,same,0.5559667180148566
sub-100610,Occipital,V1v,Occipital,V1d,different,same,0.4327483333719568
sub-100610,Occipital,V1v,Occipital,V2v,different,same,0.24304663097757123
sub-100610,Occipital,V1v,Occipital,V2d,different,same,0.44354358302933633
sub-100610,Occipital,V1v,Occipital,V3v,different,same,0.15436475505768354
sub-100610,Occipital,V1v,Occipital,V3d,different,same,0.5198721528858103
sub-100610,Occipital,V1v,Ventral,hV4,different,different,0.16222978175806257
sub-100610,Occipital,V1v,Ventral,VO1,different,different,-0.10187598176310803
sub-100610,Occipital,V1v,Ventral,VO2,different,different,-0.4660508659376769
sub-100610,Occipital,V1v,Ventral,PHC1,different,different,-0.45250704465404806
sub-100610,Occipital,V1v,Ventral,PHC2,different,different,-0.5506613984108247
sub-100610,Occipital,V1v,Lateral,LO1,different,different,-0.13528111395896314
sub-100610,Occipital,V1v,Lateral,LO2,different,different,0.19787157888800422
sub-100610,Occipital,V1v,Lateral,hMT,different,different,0.11300316907406889
sub-100610,Occipital,V1v,Lateral,MST,different,different,0.1458062664487551
sub-100610,Occipital,V1v,Dorsal,V3a,different,different,0.2375480881342521
sub-100610,Occipital,V1v,Dorsal,V3b,different,different,0.42247498628224733
sub-100610,Occipital,V1v,Dorsal,IPS0,different,different,0.23732267799331866
sub-100610,Occipital,V1v,Dorsal,IPS1,different,different,0.20629256726828257
sub-100610,Occipital,V1v,Dorsal,IPS2,different,different,0.23328239765258577
sub-100610,Occipital,V1v,Dorsal,IPS3,different,different,0.17369092752574683
sub-100610,Occipital,V1v,Dorsal,IPS4,different,different,0.16255655157060275
sub-100610,Occipital,V1v,Dorsal,IPS5,different,different,0.2687669752889156
sub-100610,Occipital,V1v,Dorsal,SPL1,different,different,0.24216465300672405
sub-100610,Occipital,V1d,Occipital,V1v,different,same,0.7915754767219711
sub-100610,Occipital,V1d,Occipital,V1d,same,same,0.8922481829756945
sub-100610,Occipital,V1d,Occipital,V2v,different,same,0.7229729363945343
sub-100610,Occipital,V1d,Occipital,V2d,different,same,0.8655564206911425
sub-100610,Occipital,V1d,Occipital,V3v,different,same,0.5580727523835196
sub-100610,Occipital,V1d,Occipital,V3d,different,same,0.7969728116654827
sub-100610,Occipital,V1d,Ventral,hV4,different,different,0.6131796359281783
sub-100610,Occipital,V1d,Ventral,VO1,different,different,0.25295935055998436
sub-100610,Occipital,V1d,Ventral,VO2,different,different,-0.09216674203775539
sub-100610,Occipital,V1d,Ventral,PHC1,different,different,-0.2558219145121188
sub-100610,Occipital,V1d,Ventral,PHC2,different,different,-0.24063043755674662
sub-100610,Occipital,V1d,Lateral,LO1,different,different,0.19274613136724186
sub-100610,Occipital,V1d,Lateral,LO2,different,different,0.23219761755842477
sub-100610,Occipital,V1d,Lateral,hMT,different,different,0.2923474452072974
sub-100610,Occipital,V1d,Lateral,MST,different,different,0.5776600809525207
sub-100610,Occipital,V1d,Dorsal,V3a,different,different,0.5348952778612402
sub-100610,Occipital,V1d,Dorsal,V3b,different,different,0.5388626438490703
sub-100610,Occipital,V1d,Dorsal,IPS0,different,different,0.08094474329360678
sub-100610,Occipital,V1d,Dorsal,IPS1,different,different,-0.1226626585513038
sub-100610,Occipital,V1d,Dorsal,IPS2,different,different,-0.19260797864146392
sub-100610,Occipital,V1d,Dorsal,IPS3,different,different,-0.17034981176423716
sub-100610,Occipital,V1d,Dorsal,IPS4,different,different,-0.20476518060829893
sub-100610,Occipital,V1d,Dorsal,IPS5,different,different,-0.2085938214730737
sub-100610,Occipital,V1d,Dorsal,SPL1,different,different,-0.1380400520022238
sub-100610,Occipital,V2v,Occipital,V1v,different,same,0.6811012722007023
sub-100610,Occipital,V2v,Occipital,V1d,different,same,0.7859435620876639
sub-100610,Occipital,V2v,Occipital,V2v,same,same,0.7614771523053881
sub-100610,Occipital,V2v,Occipital,V2d,different,same,0.728574322668552
sub-100610,Occipital,V2v,Occipital,V3v,different,same,0.45689677416896557
sub-100610,Occipital,V2v,Occipital,V3d,different,same,0.7046794862392898
sub-100610,Occipital,V2v,Ventral,hV4,different,different,0.550640922657446
sub-100610,Occipital,V2v,Ventral,VO1,different,different,0.28467058630833286
sub-100610,Occipital,V2v,Ventral,VO2,different,different,-0.02899535965406797
sub-100610,Occipital,V2v,Ventral,PHC1,different,different,-0.18641231885645335
sub-100610,Occipital,V2v,Ventral,PHC2,different,different,-0.23252477467634491
sub-100610,Occipital,V2v,Lateral,LO1,different,different,-0.01752576087741824
sub-100610,Occipital,V2v,Lateral,LO2,different,different,0.2470909943707879
sub-100610,Occipital,V2v,Lateral,hMT,different,different,0.22083605495365052
sub-100610,Occipital,V2v,Lateral,MST,different,different,0.44662996552607326
sub-100610,Occipital,V2v,Dorsal,V3a,different,different,0.4391012229368773
sub-100610,Occipital,V2v,Dorsal,V3b,different,different,0.46207957325085347
sub-100610,Occipital,V2v,Dorsal,IPS0,different,different,-0.0459520343697472
sub-100610,Occipital,V2v,Dorsal,IPS1,different,different,-0.16912620406896417
sub-100610,Occipital,V2v,Dorsal,IPS2,different,different,-0.21719542884223836
sub-100610,Occipital,V2v,Dorsal,IPS3,different,different,-0.23950701378238304
sub-100610,Occipital,V2v,Dorsal,IPS4,different,different,-0.21298752225749387
sub-100610,Occipital,V2v,Dorsal,IPS5,different,different,-0.21194986145720943
sub-100610,Occipital,V2v,Dorsal,SPL1,different,different,-0.20402264584898988
sub-100610,Occipital,V2d,Occipital,V1v,different,same,0.7370611367758009
sub-100610,Occipital,V2d,Occipital,V1d,different,same,0.7617683778727806
sub-100610,Occipital,V2d,Occipital,V2v,different,same,0.7049239454308432
sub-100610,Occipital,V2d,Occipital,V2d,same,same,0.8922292330986145
sub-100610,Occipital,V2d,Occipital,V3v,different,same,0.6409881833333151
sub-100610,Occipital,V2d,Occipital,V3d,different,same,0.8039920752555929
sub-100610,Occipital,V2d,Ventral,hV4,different,different,0.6893402036967872
sub-100610,Occipital,V2d,Ventral,VO1,different,different,0.4294132604284964
sub-100610,Occipital,V2d,Ventral,VO2,different,different,0.10011341512669356
sub-100610,Occipital,V2d,Ventral,PHC1,different,different,-0.05388738904311359
sub-100610,Occipital,V2d,Ventral,PHC2,different,different,-0.06367483024114376
sub-100610,Occipital,V2d,Lateral,LO1,different,different,0.2216273224864673
sub-100610,Occipital,V2d,Lateral,LO2,different,different,0.27120439191139273
sub-100610,Occipital,V2d,Lateral,hMT,different,different,0.3746852658030995
sub-100610,Occipital,V2d,Lateral,MST,different,different,0.5853545333638857
sub-100610,Occipital,V2d,Dorsal,V3a,different,different,0.569620106231255
sub-100610,Occipital,V2d,Dorsal,V3b,different,different,0.5479915024357678
sub-100610,Occipital,V2d,Dorsal,IPS0,different,different,-0.019191816521728917
sub-100610,Occipital,V2d,Dorsal,IPS1,different,different,-0.20286200445155392
sub-100610,Occipital,V2d,Dorsal,IPS2,different,different,-0.37829260112219987
sub-100610,Occipital,V2d,Dorsal,IPS3,different,different,-0.3439747462541964
sub-100610,Occipital,V2d,Dorsal,IPS4,different,different,-0.32777513661259716
sub-100610,Occipital,V2d,Dorsal,IPS5,different,different,-0.329391639550908
sub-100610,Occipital,V2d,Dorsal,SPL1,different,different,-0.29798694458989256
sub-100610,Occipital,V3v,Occipital,V1v,different,same,0.597659092373913
sub-100610,Occipital,V3v,Occipital,V1d,different,same,0.6490692095148934
sub-100610,Occipital,V3v,Occipital,V2v,different,same,0.7253150316377954
sub-100610,Occipital,V3v,Occipital,V2d,different,same,0.6761774428690325
sub-100610,Occipital,V3v,Occipital,V3v,same,same,0.8861525329380674
sub-100610,Occipital,V3v,Occipital,V3d,different,same,0.5956247042389771
sub-100610,Occipital,V3v,Ventral,hV4,different,different,0.8773280832960102
sub-100610,Occipital,V3v,Ventral,VO1,different,different,0.718081834991912
sub-100610,Occipital,V3v,Ventral,VO2,different,different,0.5518814332208968
sub-100610,Occipital,V3v,Ventral,PHC1,different,different,0.3247743030867491
sub-100610,Occipital,V3v,Ventral,PHC2,different,different,0.3919427665327731
sub-100610,Occipital,V3v,Lateral,LO1,different,different,0.3206645460486829
sub-100610,Occipital,V3v,Lateral,LO2,different,different,0.1469021210453781
sub-100610,Occipital,V3v,Lateral,hMT,different,different,0.3123021141668588
sub-100610,Occipital,V3v,Lateral,MST,different,different,0.5157686874296622
sub-100610,Occipital,V3v,Dorsal,V3a,different,different,0.42611810536945055
sub-100610,Occipital,V3v,Dorsal,V3b,different,different,0.3493517920119872
sub-100610,Occipital,V3v,Dorsal,IPS0,different,different,-0.30618990753882774
sub-100610,Occipital,V3v,Dorsal,IPS1,different,different,-0.49891942839964015
sub-100610,Occipital,V3v,Dorsal,IPS2,different,different,-0.6343079059157153
sub-100610,Occipital,V3v,Dorsal,IPS3,different,different,-0.6330298928204363
sub-100610,Occipital,V3v,Dorsal,IPS4,different,different,-0.5346569527829947
sub-100610,Occipital,V3v,Dorsal,IPS5,different,different,-0.6397513310739834
sub-100610,Occipital,V3v,Dorsal,SPL1,different,different,-0.5837518906679304
sub-100610,Occipital,V3d,Occipital,V1v,different,same,0.6437436371420683
sub-100610,Occipital,V3d,Occipital,V1d,different,same,0.6503629813404046
sub-100610,Occipital,V3d,Occipital,V2v,different,same,0.7196688540924912
